Source,Target,Type,Id,Label,timeset,Weight
96,89,Directed,339,,,1
97,89,Directed,340,,,1
98,89,Directed,341,,,1
99,89,Directed,342,,,1
102,92,Directed,343,,,1
45,73,Directed,344,,,1
46,73,Directed,345,,,1
47,71,Directed,346,,,1
48,71,Directed,347,,,1
49,71,Directed,348,,,1
50,71,Directed,349,,,1
51,52,Directed,350,,,1
52,51,Directed,351,,,1
52,71,Directed,352,,,1
53,99,Directed,353,,,1
54,99,Directed,354,,,1
55,96,Directed,355,,,1
56,97,Directed,356,,,1
57,70,Directed,357,,,1
58,69,Directed,358,,,1
59,64,Directed,359,,,1
60,62,Directed,360,,,1
61,62,Directed,361,,,1
62,60,Directed,362,,,1
62,61,Directed,363,,,1
62,64,Directed,364,,,1
62,73,Directed,365,,,1
63,64,Directed,366,,,1
63,73,Directed,367,,,1
64,98,Directed,368,,,1
64,99,Directed,369,,,1
64,68,Directed,370,,,1
64,59,Directed,371,,,1
64,62,Directed,372,,,1
64,63,Directed,373,,,1
64,75,Directed,374,,,1
64,77,Directed,375,,,1
64,101,Directed,376,,,1
65,102,Directed,377,,,1
66,67,Directed,378,,,1
67,66,Directed,379,,,1
67,68,Directed,380,,,1
68,69,Directed,381,,,1
68,70,Directed,382,,,1
68,64,Directed,383,,,1
68,67,Directed,384,,,1
68,74,Directed,385,,,1
69,58,Directed,386,,,1
69,68,Directed,387,,,1
69,74,Directed,388,,,1
70,57,Directed,389,,,1
70,68,Directed,390,,,1
70,74,Directed,391,,,1
71,47,Directed,392,,,1
71,48,Directed,393,,,1
71,49,Directed,394,,,1
71,50,Directed,395,,,1
71,52,Directed,396,,,1
71,73,Directed,397,,,1
71,72,Directed,398,,,1
72,71,Directed,399,,,1
72,101,Directed,400,,,1
73,45,Directed,401,,,1
73,46,Directed,402,,,1
73,99,Directed,403,,,1
73,96,Directed,404,,,1
73,97,Directed,405,,,1
73,62,Directed,406,,,1
73,63,Directed,407,,,1
73,71,Directed,408,,,1
74,69,Directed,409,,,1
74,70,Directed,410,,,1
74,68,Directed,411,,,1
75,64,Directed,412,,,1
75,76,Directed,413,,,1
75,77,Directed,414,,,1
76,75,Directed,415,,,1
77,64,Directed,416,,,1
77,75,Directed,417,,,1
96,55,Directed,418,,,1
96,98,Directed,419,,,1
96,73,Directed,420,,,1
97,56,Directed,421,,,1
97,98,Directed,422,,,1
97,73,Directed,423,,,1
98,96,Directed,424,,,1
98,97,Directed,425,,,1
98,64,Directed,426,,,1
99,53,Directed,427,,,1
99,54,Directed,428,,,1
99,64,Directed,429,,,1
99,73,Directed,430,,,1
101,64,Directed,431,,,1
101,100,Directed,432,,,1
101,72,Directed,433,,,1
102,65,Directed,434,,,1
102,64,Directed,435,,,1
100,101,Directed,436,,,1
7,0,Directed,437,,,1
7,1,Directed,438,,,1
7,2,Directed,439,,,1
7,3,Directed,440,,,1
7,4,Directed,441,,,1
7,5,Directed,442,,,1
7,95,Directed,443,,,1
8,0,Directed,444,,,1
8,1,Directed,445,,,1
8,2,Directed,446,,,1
8,3,Directed,447,,,1
8,4,Directed,448,,,1
8,5,Directed,449,,,1
8,95,Directed,450,,,1
9,0,Directed,451,,,1
9,1,Directed,452,,,1
9,2,Directed,453,,,1
9,3,Directed,454,,,1
9,4,Directed,455,,,1
9,5,Directed,456,,,1
9,95,Directed,457,,,1
10,0,Directed,458,,,1
10,1,Directed,459,,,1
10,2,Directed,460,,,1
10,3,Directed,461,,,1
10,4,Directed,462,,,1
10,5,Directed,463,,,1
10,95,Directed,464,,,1
11,0,Directed,465,,,1
11,1,Directed,466,,,1
11,3,Directed,467,,,1
11,95,Directed,468,,,1
12,0,Directed,469,,,1
12,1,Directed,470,,,1
12,2,Directed,471,,,1
12,3,Directed,472,,,1
12,4,Directed,473,,,1
12,5,Directed,474,,,1
12,95,Directed,475,,,1
13,0,Directed,476,,,1
13,1,Directed,477,,,1
13,2,Directed,478,,,1
13,3,Directed,479,,,1
13,4,Directed,480,,,1
13,5,Directed,481,,,1
13,95,Directed,482,,,1
14,0,Directed,483,,,1
14,6,Directed,484,,,1
15,0,Directed,485,,,1
15,6,Directed,486,,,1
16,0,Directed,487,,,1
16,1,Directed,488,,,1
16,2,Directed,489,,,1
16,3,Directed,490,,,1
16,4,Directed,491,,,1
16,5,Directed,492,,,1
16,6,Directed,493,,,1
16,95,Directed,494,,,1
17,6,Directed,495,,,1
18,1,Directed,496,,,1
18,3,Directed,497,,,1
18,95,Directed,498,,,1
19,1,Directed,499,,,1
19,3,Directed,500,,,1
19,95,Directed,501,,,1
20,1,Directed,502,,,1
20,2,Directed,503,,,1
20,3,Directed,504,,,1
20,95,Directed,505,,,1
21,1,Directed,506,,,1
21,2,Directed,507,,,1
21,3,Directed,508,,,1
21,4,Directed,509,,,1
21,5,Directed,510,,,1
21,95,Directed,511,,,1
22,1,Directed,512,,,1
22,3,Directed,513,,,1
22,4,Directed,514,,,1
22,5,Directed,515,,,1
22,95,Directed,516,,,1
23,1,Directed,517,,,1
23,3,Directed,518,,,1
23,95,Directed,519,,,1
24,1,Directed,520,,,1
24,3,Directed,521,,,1
24,4,Directed,522,,,1
24,5,Directed,523,,,1
24,95,Directed,524,,,1
25,1,Directed,525,,,1
25,3,Directed,526,,,1
25,5,Directed,527,,,1
25,95,Directed,528,,,1
26,1,Directed,529,,,1
26,3,Directed,530,,,1
26,5,Directed,531,,,1
26,95,Directed,532,,,1
27,1,Directed,533,,,1
27,2,Directed,534,,,1
27,95,Directed,535,,,1
28,1,Directed,536,,,1
28,2,Directed,537,,,1
28,5,Directed,538,,,1
28,95,Directed,539,,,1
29,1,Directed,540,,,1
29,2,Directed,541,,,1
29,95,Directed,542,,,1
30,1,Directed,543,,,1
30,2,Directed,544,,,1
30,3,Directed,545,,,1
30,95,Directed,546,,,1
31,2,Directed,547,,,1
31,3,Directed,548,,,1
31,95,Directed,549,,,1
32,3,Directed,550,,,1
32,6,Directed,551,,,1
32,95,Directed,552,,,1
33,3,Directed,553,,,1
33,95,Directed,554,,,1
34,4,Directed,555,,,1
34,95,Directed,556,,,1
35,4,Directed,557,,,1
35,95,Directed,558,,,1
36,4,Directed,559,,,1
36,95,Directed,560,,,1
37,5,Directed,561,,,1
37,95,Directed,562,,,1
38,5,Directed,563,,,1
38,95,Directed,564,,,1
39,6,Directed,565,,,1
40,0,Directed,566,,,1
41,6,Directed,567,,,1
43,6,Directed,568,,,1
44,0,Directed,569,,,1
44,6,Directed,570,,,1
44,95,Directed,571,,,1
7,89,Directed,572,,,1
8,89,Directed,573,,,1
9,89,Directed,574,,,1
9,92,Directed,575,,,1
9,91,Directed,576,,,1
10,89,Directed,577,,,1
10,92,Directed,578,,,1
10,91,Directed,579,,,1
11,82,Directed,580,,,1
11,84,Directed,581,,,1
14,92,Directed,582,,,1
15,81,Directed,583,,,1
18,79,Directed,584,,,1
18,87,Directed,585,,,1
19,80,Directed,586,,,1
19,88,Directed,587,,,1
20,87,Directed,588,,,1
20,79,Directed,589,,,1
20,82,Directed,590,,,1
20,84,Directed,591,,,1
20,85,Directed,592,,,1
20,93,Directed,593,,,1
21,88,Directed,594,,,1
21,80,Directed,595,,,1
21,82,Directed,596,,,1
21,84,Directed,597,,,1
21,85,Directed,598,,,1
21,93,Directed,599,,,1
22,82,Directed,600,,,1
22,84,Directed,601,,,1
23,82,Directed,602,,,1
23,84,Directed,603,,,1
24,84,Directed,604,,,1
25,84,Directed,605,,,1
26,84,Directed,606,,,1
27,87,Directed,607,,,1
27,88,Directed,608,,,1
28,82,Directed,609,,,1
28,84,Directed,610,,,1
28,83,Directed,611,,,1
29,79,Directed,612,,,1
30,87,Directed,613,,,1
30,88,Directed,614,,,1
30,82,Directed,615,,,1
31,87,Directed,616,,,1
31,88,Directed,617,,,1
31,90,Directed,618,,,1
31,91,Directed,619,,,1
32,87,Directed,620,,,1
33,87,Directed,621,,,1
34,94,Directed,622,,,1
36,94,Directed,623,,,1
37,83,Directed,624,,,1
38,83,Directed,625,,,1
40,92,Directed,626,,,1
7,18,Directed,627,,,1
7,20,Directed,628,,,1
7,21,Directed,629,,,1
7,27,Directed,630,,,1
7,32,Directed,631,,,1
7,40,Directed,632,,,1
8,18,Directed,633,,,1
8,20,Directed,634,,,1
8,21,Directed,635,,,1
8,27,Directed,636,,,1
8,32,Directed,637,,,1
8,40,Directed,638,,,1
9,7,Directed,639,,,1
9,8,Directed,640,,,1
9,10,Directed,641,,,1
10,7,Directed,642,,,1
10,8,Directed,643,,,1
11,23,Directed,644,,,1
11,25,Directed,645,,,1
11,26,Directed,646,,,1
12,9,Directed,647,,,1
12,16,Directed,648,,,1
12,44,Directed,649,,,1
12,43,Directed,650,,,1
13,9,Directed,651,,,1
13,16,Directed,652,,,1
13,44,Directed,653,,,1
13,43,Directed,654,,,1
14,40,Directed,655,,,1
16,10,Directed,656,,,1
16,12,Directed,657,,,1
16,13,Directed,658,,,1
16,15,Directed,659,,,1
16,39,Directed,660,,,1
16,44,Directed,661,,,1
18,19,Directed,662,,,1
18,20,Directed,663,,,1
18,21,Directed,664,,,1
18,27,Directed,665,,,1
18,29,Directed,666,,,1
18,32,Directed,667,,,1
19,21,Directed,668,,,1
19,27,Directed,669,,,1
19,29,Directed,670,,,1
20,21,Directed,671,,,1
20,27,Directed,672,,,1
20,29,Directed,673,,,1
20,32,Directed,674,,,1
20,31,Directed,675,,,1
21,31,Directed,676,,,1
22,23,Directed,677,,,1
23,20,Directed,678,,,1
23,21,Directed,679,,,1
23,31,Directed,680,,,1
24,23,Directed,681,,,1
25,23,Directed,682,,,1
26,23,Directed,683,,,1
28,34,Directed,684,,,1
28,36,Directed,685,,,1
30,18,Directed,686,,,1
30,19,Directed,687,,,1
30,27,Directed,688,,,1
30,28,Directed,689,,,1
30,29,Directed,690,,,1
30,31,Directed,691,,,1
30,32,Directed,692,,,1
30,33,Directed,693,,,1
30,36,Directed,694,,,1
31,28,Directed,695,,,1
31,32,Directed,696,,,1
33,31,Directed,697,,,1
34,36,Directed,698,,,1
35,36,Directed,699,,,1
35,34,Directed,700,,,1
37,38,Directed,701,,,1
38,41,Directed,702,,,1
38,31,Directed,703,,,1
39,12,Directed,704,,,1
39,13,Directed,705,,,1
39,15,Directed,706,,,1
39,16,Directed,707,,,1
40,14,Directed,708,,,1
44,40,Directed,709,,,1
